"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CHD8",-0.0775646449647267,12.1219037972061,-9.05016267701299,3.10526535255975e-19,4.58696557154766e-19,29.6145911790069
"RC3H2",-0.0707392228203842,12.0587344831401,-8.84680169303483,1.83400204959097e-18,2.69542725470188e-18,27.8576538844213
"L3MBTL4",0.162399841278616,11.3752909200223,8.61329137219214,1.34722481384238e-17,1.93124345235533e-17,26.6361613639053
"LASP1",-0.096642976755782,12.2093031735236,-8.70016318157405,6.45217215421712e-18,9.43508591395568e-18,26.623276381889
"TRAF7",-0.0771163047389214,12.1295505469036,-8.63947013491025,1.07992864196833e-17,1.56685285069337e-17,26.1080756212515
"MBNL2",0.0991025898956869,12.1279960942897,8.63921529910207,1.08225918553047e-17,1.56685285069337e-17,26.107311840294
"SETD5",-0.0791111270171599,12.2091586135751,-8.62105112293464,1.26182344089097e-17,1.81777535296669e-17,25.9606906079849
"MEI1",-0.200808142302043,11.0631566972782,-8.44491688070961,5.50606266464863e-17,7.85423644810172e-17,25.5165651710916
"ATM",-0.07286574484785,12.0774326196902,-8.39047499200397,8.63338235145455e-17,1.22551915330404e-16,24.054280532785
"DEPDC5",-0.0537621856542658,11.8377030043351,-8.25085892200552,2.70314297006977e-16,3.81851749655488e-16,23.0019961632409
"MTRF1",-0.057047232829082,11.6702396652462,-8.14963275932835,6.11668535067345e-16,8.59881853645398e-16,22.4074694171831
"LRIG2",-0.0559594626983517,11.9119266318492,-7.85536048509726,6.23423704860119e-15,8.72193740934109e-15,19.8583685413052
"ATAD3B",-0.0601675660933302,11.9747532853831,-7.72339750513952,1.72152259100998e-14,2.39695250710002e-14,18.8386930787197
